ID_epi,tiempo_entrada,tiempo_salida,texto,episodio,temporada
115,00:07:51.040,00:07:54.440,"-¿Y planetas? Yo puedo ser Marte, este Urano.",1,1
116,00:07:54.840,00:07:56.800,"-Yo Urano no seré, así que te olvidas.",1,1
117,00:07:57.440,00:07:59.600,-¿Qué le pasa a Urano? -Que tiene mala rima.,1,1
118,00:07:59.680,00:08:02.840,"Van a ser ciudades, ciudades. Quedamos con ciudades.",1,1
119,00:08:03.360,00:08:04.440,Bien.,1,1
120,00:08:04.520,00:08:06.760,"""Y así terminé llamándome Tokio.",1,1
121,00:08:07.600,00:08:09.840,Ese que me mira el culo es el señor Berlín.,1,1
122,00:08:10.400,00:08:11.520,En busca y captura.,1,1
123,00:08:12.720,00:08:16.360,"27 atracos. Joyerías, casas de subastas y furgones.",1,1
124,00:08:16.440,00:08:18.920,"Su mayor golpe, los Campos Elíseos, en París.",1,1
125,00:08:19.000,00:08:21.120,434 diamantes.,1,1
126,00:08:22.040,00:08:23.920,Es como un tiburón en una piscina.,1,1
127,00:08:24.000,00:08:26.600,"Puedes bañarte con él, pero nunca estás tranquila.",1,1
128,00:08:26.680,00:08:28.200,"Y era el jefe al mando del asalto"".",1,1
129,00:08:28.280,00:08:29.280,(Tosidos),1,1
130,00:08:29.360,00:08:31.000,"""El que tose es el señor Moscú.",1,1
131,00:08:32.240,00:08:34.400,"Lo primero que cavó fue una mina, en Asturias.",1,1
132,00:08:35.520,00:08:38.840,Después comprendió que cavando hacia arriba llegaría más lejos.,1,1
133,00:08:38.920,00:08:41.920,"Seis peleterías, tres relojerías y la Caja Rural de Avilés.",1,1
134,00:08:42.880,00:08:45.800,Maneja lanza térmica y cualquier herramienta industrial.,1,1
135,00:08:45.880,00:08:49.120,"El que está sentado tras Moscú es Denver, su hijo.",1,1
136,00:08:50.680,00:08:53.160,"Drogas, dientes, costillas rotas.",1,1
137,00:08:53.600,00:08:55.360,Es el rey de las peleas de discoteca.,1,1
138,00:08:55.440,00:08:56.800,Pura sangre caliente.,1,1
139,00:08:56.880,00:08:59.680,"En un plan perfecto, una bomba de relojería.",1,1
140,00:09:03.520,00:09:05.200,Río. Es mi debilidad.,1,1
141,00:09:05.560,00:09:07.800,"Es como un Mozart, pero con los ordenadores.",1,1
142,00:09:08.800,00:09:12.120,Programa desde los 6 años y lo sabe todo de alarmas y electrónica.,1,1
143,00:09:12.200,00:09:15.280,Para el resto de cosas de la vida es como si hubiera nacido ayer.,1,1
144,00:09:16.160,00:09:19.000,"Y ahí están los siameses, Helsinki y Oslo.",1,1
145,00:09:19.080,00:09:21.600,Hasta en el plan más sofisticado hacen falta soldados,1,1
146,00:09:21.760,00:09:23.200,y qué mejor que dos serbios.,1,1
147,00:09:23.280,00:09:26.680,"Puede que piensen, pero, francamente, nunca lo sabremos.",1,1
148,00:09:27.960,00:09:29.480,"Nairobi,",1,1
149,00:09:29.560,00:09:31.160,optimista empedernida.,1,1
150,00:09:31.240,00:09:33.800,Ha falsificado billetes desde los 13 años.,1,1
151,00:09:33.880,00:09:35.920,Y ahora es nuestra encargada de calidad.,1,1
152,00:09:36.800,00:09:40.120,"Es posible que esté loca, pero tiene tanta gracia la 'jodía'"".",1,1
153,00:09:41.200,00:09:45.840,"Pensad que cada día los telediarios estarán hablando de nosotros,",1,1
154,00:09:45.920,00:09:49.040,que cada familia de este país se estará preguntando,1,1
155,00:09:49.560,00:09:50.840,qué estamos haciendo.,1,1
156,00:09:52.200,00:09:53.720,¿Y sabéis lo que van a pensar?,1,1
157,00:09:56.800,00:09:59.640,"Van a pensar: ""Qué cabrones, ojalá se me hubiera ocurrido a mí"".",1,1
158,00:09:59.840,00:10:02.880,"""El Profesor, sin antecedentes, sin registro.",1,1
159,00:10:02.960,00:10:05.920,La última vez que renovó el DNI fue con 19 años.,1,1
160,00:10:06.240,00:10:10.600,"A todos los efectos, un fantasma, pero un fantasma muy inteligente"".",1,1
161,00:10:10.680,00:10:14.440,"No vamos a robar... el dinero de nadie,",1,1
162,00:10:16.040,00:10:18.280,porque les vamos a caer hasta simpáticos.,1,1
163,00:10:19.200,00:10:22.480,"Y eso es fundamental, es fundamental que tengamos la opinión pública",1,1
164,00:10:22.560,00:10:23.800,de nuestra parte.,1,1
165,00:10:27.960,00:10:30.600,Vamos a ser los puñeteros héroes de toda esta gente.,1,1
166,00:10:32.440,00:10:35.560,"Pero mucho cuidado, porque en el momento en que haya",1,1
167,00:10:35.640,00:10:38.360,"una sola gota de sangre, esto es muy importante,",1,1
168,00:10:38.640,00:10:40.360,"como haya una sola víctima,",1,1
169,00:10:41.040,00:10:42.720,dejaremos de ser unos Robin Hood,1,1
170,00:10:42.800,00:10:45.480,para convertirnos simplemente en unos hijos de puta.,1,1
171,00:10:46.560,00:10:47.640,Profesor.,1,1
172,00:10:49.240,00:10:50.600,Señorita Tokio.,1,1
173,00:10:52.280,00:10:53.760,¿Qué vamos a robar?,1,1
174,00:11:00.720,00:11:02.800,La Fábrica Nacional de Moneda y Timbre.,1,1
175,00:12:27.720,00:12:29.080,¿Quién eligió la careta?,1,1
176,00:12:29.160,00:12:31.640,(BERLÍN) ¿Qué le pasa a la careta? -Que no da miedo.,1,1
177,00:12:31.920,00:12:34.640,Tú ves las pelis de atracadores y las caretas dan miedo.,1,1
178,00:12:35.040,00:12:38.040,"Son zombis, esqueletos, la muerte, yo qué sé, sientes...",1,1
179,00:12:39.360,00:12:40.720,(BERLÍN) Con un arma en la mano,1,1
180,00:12:40.800,00:12:43.160,te aseguro que da más miedo un loco que un esqueleto.,1,1
181,00:12:43.240,00:12:45.880,-Venga ya. -¿Quién era el payo este del bigote?,1,1
182,00:12:47.280,00:12:50.840,"-Dalí, hijo, un pintor español. Era muy bueno.",1,1
183,00:12:51.160,00:12:52.720,-Un pintor. -Sí.,1,1
184,00:12:52.920,00:12:55.520,-Un pintor de pintar. -Sí.,1,1
185,00:12:55.600,00:12:56.640,-(RESOPLA),1,1
186,00:12:56.720,00:13:00.080,¿Tú sabes lo que da miedo de cojones? Los muñecos de los críos.,1,1
187,00:13:00.160,00:13:01.520,Eso sí que da miedo.,1,1
188,00:13:02.560,00:13:03.720,-¿Qué muñecos?,1,1
189,00:13:03.800,00:13:05.920,"-El Goofy, el Pluto, el Mickey Mouse, todos estos.",1,1
190,00:13:06.000,00:13:08.280,"-¿Un ratón con orejas da más miedo, eso me dices?",1,1
191,00:13:08.360,00:13:10.640,"-Pues sí, gilipollas. ¿Quieres que te dé un guantazo?",1,1
192,00:13:10.720,00:13:12.520,-¡Eh! -Que tengo razón. Vamos a ver.,1,1
193,00:13:12.760,00:13:15.800,Si un payo a punta de pistola entra con una careta de Mickey Mouse,1,1
194,00:13:15.880,00:13:18.480,"a cualquier lado, le peña pensará que está colgado,",1,1
195,00:13:18.560,00:13:20.400,que liará una carnicería. ¿Sabes por qué?,1,1
196,00:13:20.480,00:13:22.560,Porque las armas y los niños,1,1
197,00:13:22.920,00:13:24.800,"son una cosa que no se juntan nunca, papa.",1,1
198,00:13:24.880,00:13:27.720,"¿Sí o no? -Visto así, sería más peligroso,",1,1
199,00:13:28.880,00:13:29.920,más retorcido.,1,1
200,00:13:30.000,00:13:33.120,"-Entonces una careta de Jesucristo acojonaría más, es más inocente.",1,1
201,00:13:33.200,00:13:35.920,-Por eso dice que pega menos que a un Cristo dos pistolas.,1,1
202,00:13:36.000,00:13:38.160,-Como a un santo dos pistolas. (MOSCÚ) ¿Qué más da?,1,1
203,00:13:38.240,00:13:40.520,"""Era evidente que en la banda faltaban mujeres"".",1,1
204,00:13:40.600,00:13:41.440,(Frenazo),1,1
205,00:13:41.520,00:13:44.720,"""Una mujer puede tirarse dos días eligiendo zapatos para una boda,",1,1
206,00:13:44.800,00:13:48.480,pero jamás emplearía un minuto en elegir caretas para un atraco.,1,1
207,00:14:07.480,00:14:10.600,Todo lo que habíamos planeado empezaba ahora,1,1
208,00:14:10.680,00:14:14.120,y en esas décimas de segundo pensé en toda la gente inocente,1,1
209,00:14:14.200,00:14:16.480,a la que detendríamos en seco su vida.,1,1
210,00:14:26.960,00:14:29.480,El Profesor sabía que solo había una manera de entrar,1,1
211,00:14:29.560,00:14:32.000,en la Fábrica de Moneda y Timbre con tres toneladas,1,1
212,00:14:32.080,00:14:34.800,de artefactos de arsenal. Iba a hacerlo dentro del camión,1,1
213,00:14:34.880,00:14:36.520,que entraba cada semana en el edificio,1,1
214,00:14:36.600,00:14:39.720,con las nuevas bobinas de papel moneda listas para imprimir.,1,1
215,00:14:41.640,00:14:43.320,"Y eso era lo que íbamos a hacer,",1,1
216,00:14:43.400,00:14:47.040,entrar hasta la cocina y escoltados por la mismísima Policía Nacional.,1,1
217,00:14:53.880,00:14:57.080,"En España, cualquier cosa custodiada por dos zetas",1,1
218,00:14:57.160,00:14:59.320,"es algo fuertemente protegido"".",1,1
219,00:14:59.400,00:15:01.120,(Sirenas),1,1
220,00:15:02.040,00:15:03.960,"""Pero si inhibes cualquier posibilidad",1,1
221,00:15:04.040,00:15:06.240,de que se comuniquen por radio o telefonía,1,1
222,00:15:06.320,00:15:08.400,y si apuntas a unos chavales de 26 años,1,1
223,00:15:08.480,00:15:10.440,"con cinco fusiles de asalto a la cabeza,",1,1
224,00:15:10.520,00:15:11.800,"por más armados que vayan,",1,1
225,00:15:11.880,00:15:14.920,"les ocurre lo mismo que nos pasaría a cualquiera de nosotros"".",1,1
226,00:15:15.000,00:15:17.680,"¡He dicho que bajes, coño, del puto coche!",1,1
227,00:15:17.760,00:15:20.400,"""Que se cagan de miedo"". ¡Vas a hacer lo que te digo!",1,1
228,00:15:20.480,00:15:22.560,"""El valor y el heroísmo tienen un precio",1,1
229,00:15:22.640,00:15:24.600,y es mayor que los 1.600 euros al mes,1,1
230,00:15:24.680,00:15:27.840,"que cobra un chaval con uniforme..."" Abre la puerta del camión, ¿me oyes?",1,1
231,00:15:27.920,00:15:29.520,"""...o un camionero"".",1,1
232,00:15:29.720,00:15:31.400,"¡Venga, coño, abre!",1,1
233,00:15:34.560,00:15:36.480,"""Si esos hombres hubieran tenido a su hija",1,1
234,00:15:36.560,00:15:38.920,"en la trasera del camión, nunca hubieran abierto,",1,1
235,00:15:39.000,00:15:40.040,pero ¿a quién le importan,1,1
236,00:15:40.120,00:15:42.240,"unas bobinas de papel moneda con marca de agua?"".",1,1
237,00:15:45.480,00:15:47.440,"¡Deprisa, deprisa!",1,1
238,00:15:48.000,00:15:50.080,"¡Joder, macho! ¡Venga!",1,1
239,00:15:52.760,00:15:54.160,"(NAIROBI) ¡Tira, tira, tira!",1,1
240,00:15:54.240,00:15:56.640,Ahí sentado. Y ahora tranquilitos los tres;,1,1
241,00:15:56.720,00:15:58.680,"si no, culatazo en la cabeza.",1,1
242,00:16:00.640,00:16:03.280,(BERLÍN) Conduciréis con una pistola en los riñones.,1,1
243,00:16:03.360,00:16:05.880,"Cuando llamen por radio para saber qué tal va todo,",1,1
244,00:16:05.960,00:16:09.000,"contestareis con tranquilidad, como si todo fuera sobre ruedas.",1,1
245,00:16:09.880,00:16:10.880,¿Está claro?,1,1
246,00:16:15.120,00:16:17.160,"""Y en mitad de aquel caos con pistolas",1,1
247,00:16:17.240,00:16:20.080,recordé que la noche anterior me habían pedido matrimonio,1,1
248,00:16:20.160,00:16:22.840,y que hubiera preferido otros planes.,1,1
249,00:16:22.920,00:16:24.080,"Pero si lo piensas,",1,1
250,00:16:24.160,00:16:26.720,"nunca encuentras un buen día para un atraco"".",1,1
251,00:16:27.920,00:16:29.920,Ahora ya sabes lo que tienes que hacer.,1,1
252,00:16:30.760,00:16:32.200,No le quites ojo a la niña.,1,1
253,00:16:32.640,00:16:34.920,"No puede haber errores, ¿estamos?",1,1
254,00:16:35.000,00:16:36.560,Tiene 17 años.,1,1
255,00:16:37.880,00:16:39.440,Creo que podré con ella.,1,1
256,00:16:45.040,00:16:47.840,(Voces a lo lejos),1,1
257,00:16:51.280,00:16:52.840,(Risas),1,1
258,00:17:09.920,00:17:11.280,(Mensaje de móvil),1,1
259,00:17:39.240,00:17:40.360,Hola.,1,1
260,00:17:43.040,00:17:44.040,-Hola.,1,1
261,00:17:49.280,00:17:50.760,-¿Quieres salir conmigo?,1,1
262,00:17:55.920,00:17:57.280,Vale. Te dejo.,1,1
263,00:17:57.920,00:17:59.200,"-No, no, no.",1,1
264,00:18:01.120,00:18:06.160,"Que no me lo tengo que pensar. O sea, que sí.",1,1
265,00:18:36.560,00:18:38.760,"(MUJER) Bueno, chicos, ya hemos llegado.",1,1
266,00:18:38.840,00:18:41.760,"Vamos a ir directamente al vestíbulo del museo, donde...",1,1
267,00:18:41.840,00:18:43.840,"Pedro, haz el favor, no hagas como en clase.",1,1
268,00:18:43.920,00:18:46.800,Vamos a salir ordenadamente por las dos puertas...,1,1
269,00:18:55.560,00:18:58.880,Y esta es la fachada de la Fábrica de la Moneda y Timbre.,1,1
270,00:19:05.880,00:19:07.480,El corderito está entrando.,1,1
271,00:19:09.800,00:19:11.120,Perfecto.,1,1
272,00:19:12.440,00:19:13.800,"Berlín, tu turno.",1,1
273,00:19:14.880,00:19:17.880,(Sirena),1,1
274,00:19:19.960,00:19:22.440,"(BERLÍN) Y ahora, mucho cuidadito con lo que haces.",1,1
275,00:19:24.960,00:19:27.000,"-¿Qué tal, Javi? ¿Dónde está Rafita?",1,1
276,00:19:27.560,00:19:31.000,-Cambio de turno. (TOSE),1,1
277,00:19:31.800,00:19:33.320,(ESTORNUDA),1,1
278,00:19:36.720,00:19:39.360,-Eso está muy bien. Tranquilo.,1,1
279,00:19:41.560,00:19:43.840,"(PROFESORA) Vale, chicos, vamos entrando.",1,1
280,00:19:44.040,00:19:45.120,Despacito.,1,1
281,00:19:45.200,00:19:48.760,(HABLA SIN QUE APENAS SE OIGA),1,1
282,00:19:49.720,00:19:52.560,Esto es importante. En cuanto nos den las acreditaciones...,1,1
283,00:19:54.600,00:19:56.640,Las acreditaciones colgadas del cuello.,1,1
284,00:19:56.720,00:19:59.560,"Tienen que estar visibles durante toda la visita, ¿vale?",1,1
285,00:20:12.960,00:20:14.440,No te vuelvas.,1,1
286,00:20:15.480,00:20:18.200,"Cuando estás cerca, a mí me cuesta hasta respirar.",1,1
287,00:20:18.520,00:20:20.000,"Pues respira,",1,1
288,00:20:20.360,00:20:23.320,porque dentro de nueve meses sí que se te va a cortar la respiración.,1,1
289,00:20:31.040,00:20:32.320,Adelante.,1,1
290,00:20:37.240,00:20:40.160,"(PROFESORA) Bien visible durante toda la visita, chicos.",1,1
291,00:20:40.240,00:20:44.000,Acreditación colgada al cuello. Bajad la voz.,1,1
292,00:20:50.720,00:20:53.280,"Berlín, la primera cámara, a tu izquierda.",1,1
293,00:21:19.600,00:21:21.040,¿No me vas a decir nada? ¿Te digo,1,1
294,00:21:21.120,00:21:23.240,que estoy embarazada y te quedas tan tranquilo?,1,1
295,00:21:23.320,00:21:25.800,"¿Qué hago, llamo a mi mujer, le digo que recoja a los niños",1,1
296,00:21:25.880,00:21:28.000,y nos vamos todos a celebrarlo? Por amor de Dios.,1,1
297,00:21:29.600,00:21:32.480,"(POLICÍA) Tira, tira. Dale, dale.",1,1
298,00:21:38.360,00:21:39.800,(RÍO) Entrando.,1,1
299,00:21:40.920,00:21:42.360,"Atenta, Tokio.",1,1
300,00:21:50.880,00:21:51.840,¡Bien!,1,1
301,00:21:52.120,00:21:54.240,"""Alarmas desconectadas"". Ahora.",1,1
302,00:21:58.680,00:22:00.360,"Sigue, dale, dale.",1,1
303,00:22:01.440,00:22:03.480,"Eras tú ayer el que decías que estabais mal,",1,1
304,00:22:03.560,00:22:05.600,"que no la aguantas, que tenéis problemas.",1,1
305,00:22:05.680,00:22:07.560,"Problemas como cualquier pareja, Mónica,",1,1
306,00:22:07.640,00:22:09.760,"como cualquier matrimonio que tiene tres hijos,",1,1
307,00:22:09.840,00:22:10.960,no que me fuera a separar.,1,1
308,00:22:20.920,00:22:25.120,"Mónica, he tenido tres hijos, los tres por fecundación in vitro,",1,1
309,00:22:25.200,00:22:28.040,llevo más de 20 años manteniendo relaciones estériles con mi mujer,1,1
310,00:22:28.120,00:22:29.480,y ahora vienes a contarme esto.,1,1
311,00:22:30.720,00:22:33.680,"Tú debes de ser Shiva, la diosa de la fertilidad.",1,1
312,00:22:51.880,00:22:53.320,"""¿Qué estás insinuando?"".",1,1
313,00:22:53.400,00:22:55.800,"Yo no he venido aquí a por una pensión, ¿sabes?",1,1
314,00:22:57.040,00:22:58.440,"Ni a por un divorcio,",1,1
315,00:22:59.240,00:23:01.840,y mucho menos a por una prueba de paternidad.,1,1
316,00:23:09.760,00:23:11.160,Creía que tú me querías.,1,1
317,00:23:12.240,00:23:13.240,Y...,1,1
318,00:23:14.520,00:23:16.320,Y me parece una idea bonita.,1,1
319,00:23:20.480,00:23:22.960,"Difícil de encajar en nuestras vidas, pero...",1,1
320,00:23:24.240,00:23:25.800,Pero una idea maravillosa.,1,1
321,00:23:44.280,00:23:45.160,¡Escucha!,1,1
322,00:23:45.880,00:23:48.440,"¿Qué, quieres saber qué voy a hacer con tu niño?",1,1
323,00:23:49.080,00:23:51.720,"Eso es lo que quieres, ¿no? Escúchame, no te precipites.",1,1
324,00:23:52.720,00:23:54.920,(GRITA),1,1
325,00:23:55.000,00:23:56.000,¡Quietos!,1,1
326,00:23:59.080,00:24:00.400,(BERLÍN) Quieto.,1,1
327,00:24:05.360,00:24:07.920,¡Quieto! ¡No te muevas o te reviento!,1,1
328,00:24:08.000,00:24:10.640,"¿Qué pasa? ¡Haz algo! -¡Arriba, arriba!",1,1
329,00:24:11.480,00:24:12.760,-¡Salgan!,1,1
330,00:24:14.280,00:24:15.720,(GRITAN),1,1
331,00:24:15.800,00:24:17.600,(Gritos),1,1
332,00:24:17.960,00:24:19.800,"""¡Vamos, vamos!"".",1,1
333,00:24:20.680,00:24:22.160,¡Rápido! ¡Quietos!,1,1
334,00:24:23.160,00:24:24.760,"¡Vamos, vamos!",1,1
335,00:24:24.840,00:24:26.160,¡Vamos!,1,1
336,00:24:26.400,00:24:27.440,"¡Sí, sí!",1,1
337,00:24:34.000,00:24:34.920,Mierda.,1,1
338,00:24:40.920,00:24:42.280,"Vamos, vamos.",1,1
339,00:24:42.960,00:24:44.520,Por aquí. Vamos.,1,1
340,00:24:49.240,00:24:53.240,"Y esta escalera maravillosa, de mármol y granito...",1,1
341,00:24:53.320,00:24:55.040,-¡Quietos!,1,1
342,00:24:55.120,00:24:56.560,(GRITAN),1,1
343,00:24:57.720,00:24:59.040,¡Quietos!,1,1
344,00:24:59.120,00:25:00.360,(GRITAN),1,1
345,00:25:05.520,00:25:06.800,"¡Quietos, quietos! ¡Vamos!",1,1
346,00:25:06.880,00:25:08.440,¡Atrás!,1,1
347,00:25:09.080,00:25:11.680,"-¡Por favor, no! Profesor, tenemos un problema.",1,1
348,00:25:11.760,00:25:13.800,¡Ah! No veo al corderito.,1,1
349,00:25:13.880,00:25:15.760,"¡No lo veo, coño!",1,1
